潼关
t	流量		含沙量(kg/m3)
1200	1260	1.02
1224	1370	1.07
1248	1490	1.1
1272	1460	1.02
1296	1440	0.882
1320	1180	1.19
1344	992	1.22
1368	948	1.17
1392	929	0.704
1416	905	0.551
1440	1020	0.821
1464	873	0.759
1488	818	0.554
1512	934	0.532
1536	1130	1.69
1560	1600	3.37
1584	1610	6.58
1608	1770	5.41
1632	1670	4.46
1656	1660	2.75
1680	1990	1.4
1704	2010	1.28
1728	2070	2.14
1752	2020	1.66
1776	1610	1.38
1800	1450	1.31
1824	1950	1.79
1848	1870	2.13
1872	1820	2.04
1896	2060	2.16
1920	1930	1.36
1944	1940	1.23
1968	2120	1.88
1992	2240	1.91
2016	2100	2.05
2040	2350	1.77
2064	2380	2
2088	2330	1.95
2112	1840	2.53
2136	1700	2.66
2160	2250	7.42
2184	2710	10.7
2208	3140	8.89
2232	2560	4.84
2256	2680	2.48
2280	3020	3.19
2304	2920	4.73
2328	3120	3.88
2352	3090	3.75
2376	2780	2.6
2400	2670	2.93
2424	3490	8.77
2448	3620	22.5
2472	3200	23.1
2496	2680	30.7
2520	2660	13.2
2544	2760	11.3
2568	2740	9.71
2592	2650	7.25
2616	2970	10.3
2640	2960	15.8
2664	3060	13.3
2688	4160	13.3
2712	5400	11.7
2736	5960	11.1
2760	5690	9.98
2784	5920	8.6
2808	5610	8.27
2832	4870	7.99
2856	4690	8.1
2880	5400	12.8
2904	6070	18.8
2928	4810	20
2952	4290	21.9
2976	4020	20.3
3000	3780	20.1
3024	3680	16.1
